Report Number,Local Case Number,ACRS Report Type,Related Non-Motorist,Driver Substance Abuse,Non-Motorist Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Speed Limit,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,Pedestrian At Fault
MCP2723006D,220023464,Injury Crash,BICYCLIST,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,SIDEWALK,No Information,No Information,No
MCP2683005X,220023650,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,5,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,No Information,LIGHT CLOTHING,No
MCP2780005S,220024465,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,AT INTERSECTION BUT NO CROSSWALK,No Information,DARK CLOTHING,No
MCP2780005S,220024465,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,AT INTERSECTION BUT NO CROSSWALK,No Information,DARK CLOTHING,No
MCP3249003Q,220024244,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,SUSPECTED MINOR INJURY,No Information,NOT DISTRACTED,50,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP3249003Q,220024244,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,50,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP3193003D,220023320,Property Damage Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,UNKNOWN,No
MCP1227001M,220023880,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,MIXED CLOTHING,Unknown
MCP3283001J,220024093,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,BICYCLIST,Unknown,UNKNOWN,UNKNOWN,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2330003M,220023658,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,15,PEDESTRIAN,Other,No Information,OTHER,No Information,LIGHT CLOTHING,No
MCP24200047,220022518,Property Damage Crash,PEDESTRIAN,No Information,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,No Information,UNKNOWN,No
MCP3300001V,220024084,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,NOT VISIBLE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP27100045,220024661,Injury Crash,MACHINE OPERATOR/RIDER,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,40,MACHINE OPERATOR/RIDER,Cross/Enter at Intersection,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,No Information,Yes
MCP26220034,220035336,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP3164005Z,220034861,Injury Crash,BICYCLIST,UNKNOWN,UNKNOWN,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,IN BIKEWAY,No Information,UNKNOWN,No
MCP32610010,220035561,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP2107003N,220032576,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,10,PEDESTRIAN,Standing,No Information,OTHER,No Information,MIXED CLOTHING,No
MCP29730060,220035517,Property Damage Crash,BICYCLIST,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP209400K4,220032977,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,0,PEDESTRIAN,Other,OTHER,OTHER,No Information,LIGHT CLOTHING,No
MCP3009004Y,220034335,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Cross/Enter at Intersection,No Information,ON ROADWAY AT CROSSWALK,UNKNOWN,LIGHT CLOTHING,No
MCP3134003J,220029813,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,5,PEDESTRIAN,Other Working,No Information,OTHER,No Information,MIXED CLOTHING,No
MCP32000061,220029471,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP32760025,220029082,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,10,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,OTHER,MIXED CLOTHING,No
MCP3174003C,220030103,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,No Information,No Information,No
MCP2689008N,220028763,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,40,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No
MCP3085003B,20029820,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",OTHER DISTRACTION,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
DM8403000R,220029453,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,OTHER,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP32440021,220029316,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,No,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Walking/Riding w/Traffic,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,No Information,DARK CLOTHING,Yes
MCP2351004L,220029712,Injury Crash,OTHER,UNKNOWN,NONE DETECTED,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,30,OTHER,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,OTHER,Unknown
MCP3199003Y,220028752,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP30480089,220029908,Injury Crash,BICYCLIST,No Information,No Information,Yes,NO APPARENT INJURY,"N/A, PHYSICAL OBSTRUCTION(S)",LOOKED BUT DID NOT SEE,5,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,REFLECTIVE MATERIAL,No
DD55780004,220029330,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP31650042,220034672,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,No Information,OTHER,SHOULDER,No Information,LIGHT CLOTHING,No
DM84900020,220035339,Property Damage Crash,OTHER,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,OTHER,No Information,OTHER,No Information,No Information,No Information,No
DM84900020,220035339,Property Damage Crash,OTHER,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,OTHER,No Information,OTHER,No Information,No Information,No Information,No
MCP2771001B,220035136,Injury Crash,PEDESTRIAN,No Information,No Information,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,5,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,Unknown
MCP29730063,220036415,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
DD5644002X,220036641,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP3129004V,220032884,Injury Crash,OTHER,NONE DETECTED,No Information,Yes,SUSPECTED SERIOUS INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,25,OTHER,No Information,No Information,No Information,No Information,No Information,No
MCP32960017,220029530,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Cross/Enter at Intersection,NOT VISIBLE,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP94320035,220030117,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No
EJ78790028,220030495,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
DD5540001X,220031080,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Other,NO IMPROPER ACTIONS,No Information,NO PED. SIGNAL,DARK CLOTHING,No
MCP2278003X,220026555,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
DD5540001Y,220031120,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,No Information,LIGHT CLOTHING,No
MCP2496003C,220030048,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,20,PEDESTRIAN,Getting off/on Vehicle,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Unknown
EJ78930017,220028270,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,5,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,LIGHT CLOTHING,No
MCP3016003S,220030779,Injury Crash,PEDESTRIAN,UNKNOWN,No Information,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,15,PEDESTRIAN,No Information,IN ROADWAY IMPROPERLY,No Information,No Information,DARK CLOTHING,Yes
EJ78950029,220030840,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,5,BICYCLIST,Walking/Cycling on Sidewalk,INATTENTIVE,SIDEWALK,NO PED. SIGNAL,No Information,Yes
MCP32760027,220030521,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP23480066,220010562,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,DARK CLOTHING,No
MCP3256001D,220030286,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,MIDBLOCK MARKED CROSSWALK,UNKNOWN,LIGHT CLOTHING,No
MCP29870077,220035994,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2973005Z,220035402,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP285900CR,220036510,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,15,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP30900068,220034656,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP30900068,220034656,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,No Information,No Information,No
EJ78510083,220035553,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,No Information,No
MCP3044005J,220034537,Injury Crash,OTHER,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,OTHER,Cross/Enter at Intersection,WRONG WAY RIDING OR WALKING,SHOULDER,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP3097002S,220034594,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP289200CN,220033164,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
EJ7895002L,220034706,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,5,BICYCLIST,Cross/Enter at Intersection,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2181004L,220019281,Fatal Crash,PEDESTRIAN,No Information,NONE DETECTED,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,Yes
MCP3073006F,220036251,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,Yes
MCP2753005N,220031949,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Unknown,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Standing,OTHER,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Unknown
MCP3006007G,220031975,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",LOOKED BUT DID NOT SEE,30,BICYCLIST,Walking/Cycling on Sidewalk,WRONG WAY RIDING OR WALKING,SIDEWALK,No Information,MIXED CLOTHING,Yes
EJ7851007Z,220030691,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,No Information,No
MCP3201002T,220031043,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,LIGHT CLOTHING,Yes
MCP32570057,220031653,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Standing,NOT VISIBLE,CURB,No Information,LIGHT CLOTHING,No
MCP2637004P,220031709,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"ANIMAL, N/A",OTHER DISTRACTION,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,SHOULDER,No Information,MIXED CLOTHING,No
MCP291400CN,220032095,Injury Crash,OTHER,No Information,No Information,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,OTHER,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
EJ7884004Q,220032034,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,No Information,MIXED CLOTHING,No
MCP29650061,220031212,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,15,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP30680046,220029582,Injury Crash,BICYCLIST,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,SHOULDER,No Information,LIGHT CLOTHING,Yes
MCP3134003N,220036963,Injury Crash,BICYCLIST,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,UNKNOWN,UNKNOWN,No
MCP2001001S,220027189,Fatal Crash,PEDESTRIAN,NONE DETECTED,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP3272001L,220037313,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,25,PEDESTRIAN,Other Working,NO IMPROPER ACTIONS,OTHER,OTHER,MIXED CLOTHING,No
MCP2739004B,220037088,Injury Crash,OTHER CONVEYANCE,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,0,OTHER CONVEYANCE,Cross/Enter at Intersection,NO IMPROPER ACTIONS,DRIVEWAY ACCESS MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
EJ7888002S,220037298,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
EJ7844001B,220037076,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,BICYCLIST,Walking/Cycling on Sidewalk,FAILURE TO YIELD RIGHT OF WAY,SIDEWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes
MCP9318002B,220036779,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP15190041,220036336,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,50,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP209400K9,220037173,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No
MCP30260080,220037494,Property Damage Crash,OTHER,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,OTHER,No Information,No Information,INSIDE BUILDING,OTHER,No Information,No
MCP15950022,220027156,Injury Crash,PEDESTRIAN,UNKNOWN,ALCOHOL CONTRIBUTED,No,NO APPARENT INJURY,No Information,UNKNOWN,15,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP23610022,220037562,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,BY OTHER OCCUPANTS,0,PEDESTRIAN,Approach/Leaving Schoolbus,NO IMPROPER ACTIONS,IN SCHOOL BUS ZONE,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2456006P,220033646,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,20,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2335001Q,220031928,Injury Crash,PEDESTRIAN,No Information,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Standing,UNKNOWN,OTHER,OTHER,LIGHT CLOTHING,No
EJ7876004W,220036918,Injury Crash,OTHER PEDALCYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,10,OTHER PEDALCYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP3256001H,220037565,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP3239002D,220036543,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,50,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,LIGHT CLOTHING,Yes
MCP23480067,220018003,Fatal Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
